               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.057132,            0.075266,           0.0081772,            0.073337,             0.89311,             0.27099,             0.10655,            0.059888,             0.12083,              0.0172,            0.006535,            0.006535,            0.006535
                  37,            0.063398,            0.077763,           0.0080942,              0.3368,             0.52749,             0.50243,             0.18169,             0.05928,               0.116,            0.013242,            0.006436,            0.006436,            0.006436
                  38,             0.06218,             0.07605,           0.0082781,             0.82857,             0.18624,             0.56146,             0.21555,            0.056605,              0.1059,            0.011117,            0.006337,            0.006337,            0.006337
                  39,            0.059102,            0.073546,           0.0068255,                   1,             0.15614,             0.52541,              0.1954,            0.055588,             0.10922,            0.013293,            0.006238,            0.006238,            0.006238
                  40,            0.057839,            0.073873,           0.0072603,             0.46641,             0.21161,             0.47571,             0.16138,            0.060327,              0.1011,            0.011082,            0.006139,            0.006139,            0.006139
                  41,            0.060163,            0.071965,           0.0064742,             0.60427,              0.3448,             0.54766,             0.21082,            0.054749,            0.095558,           0.0076321,             0.00604,             0.00604,             0.00604
                  42,            0.054912,            0.077284,           0.0064757,             0.68295,             0.53441,             0.67865,             0.28405,            0.047618,            0.088898,           0.0064699,            0.005941,            0.005941,            0.005941
                  43,             0.05828,            0.086632,           0.0074356,             0.65937,             0.41152,             0.61854,             0.28186,            0.050365,            0.085991,           0.0081007,            0.005842,            0.005842,            0.005842
                  44,            0.050216,             0.08258,           0.0060767,             0.65449,             0.49308,              0.6041,             0.24405,            0.052671,            0.078163,           0.0071548,            0.005743,            0.005743,            0.005743
                  45,            0.052241,             0.08056,           0.0069028,             0.81113,             0.47359,             0.66237,              0.2738,            0.051994,            0.068687,           0.0046246,            0.005644,            0.005644,            0.005644
                  46,            0.053661,            0.076092,           0.0066824,             0.74739,             0.64231,             0.71934,             0.29105,            0.051818,            0.066444,           0.0041285,            0.005545,            0.005545,            0.005545
                  47,            0.049184,            0.073525,           0.0054626,             0.63451,              0.6585,             0.68829,              0.2808,            0.048623,            0.060883,           0.0035937,            0.005446,            0.005446,            0.005446
                  48,            0.050076,            0.077326,           0.0054842,              0.5106,             0.83474,             0.56131,             0.19179,            0.054557,            0.053547,           0.0027689,            0.005347,            0.005347,            0.005347
                  49,            0.050419,            0.073227,            0.005194,             0.86241,             0.89848,             0.88971,             0.28567,            0.051722,            0.050915,           0.0023466,            0.005248,            0.005248,            0.005248
                  50,            0.049454,            0.073049,           0.0057581,             0.64166,             0.97815,             0.74332,             0.37126,            0.041428,            0.054337,           0.0024796,            0.005149,            0.005149,            0.005149
                  51,             0.04942,            0.068881,           0.0057899,             0.81676,             0.95107,             0.89794,             0.40532,            0.040274,            0.055916,           0.0026908,             0.00505,             0.00505,             0.00505
                  52,            0.048856,            0.070311,           0.0052369,             0.80531,             0.93407,             0.87565,             0.33138,            0.049062,            0.050823,           0.0024942,            0.004951,            0.004951,            0.004951
                  53,            0.048008,            0.073219,           0.0053203,             0.58407,              0.9302,              0.7187,             0.33565,            0.042907,            0.053501,            0.003053,            0.004852,            0.004852,            0.004852
                  54,            0.045064,            0.066884,           0.0060422,             0.73071,             0.92877,             0.82861,             0.37321,            0.045969,            0.054417,           0.0025784,            0.004753,            0.004753,            0.004753
                  55,            0.045544,            0.071668,           0.0050372,             0.81768,             0.97316,             0.89262,             0.46587,            0.039081,            0.051476,           0.0019956,            0.004654,            0.004654,            0.004654
                  56,            0.045343,            0.068594,           0.0054571,             0.63689,             0.95507,             0.77594,             0.36932,             0.04464,            0.052059,           0.0020677,            0.004555,            0.004555,            0.004555
                  57,            0.041501,            0.070265,           0.0053449,              0.6471,             0.91027,             0.84876,             0.42605,            0.046165,            0.047047,            0.001775,            0.004456,            0.004456,            0.004456
                  58,            0.043461,            0.063087,           0.0048304,             0.91071,             0.96075,              0.9588,             0.46678,            0.036793,            0.047939,           0.0018072,            0.004357,            0.004357,            0.004357
                  59,            0.045754,            0.068926,           0.0053287,             0.81151,             0.91746,             0.91496,             0.47754,            0.038548,            0.048248,           0.0020711,            0.004258,            0.004258,            0.004258
                  60,            0.041752,            0.066514,           0.0047621,             0.92829,              0.9733,              0.9792,             0.48425,            0.039222,            0.046967,           0.0013261,            0.004159,            0.004159,            0.004159
                  61,            0.043707,            0.071075,           0.0056458,             0.93996,             0.94652,             0.96856,             0.47308,            0.038412,            0.047024,           0.0014153,             0.00406,             0.00406,             0.00406
                  62,            0.040548,            0.071468,           0.0044258,             0.86552,             0.92067,             0.94911,             0.52533,            0.039077,            0.045925,           0.0014304,            0.003961,            0.003961,            0.003961
                  63,            0.043066,            0.065992,           0.0048116,             0.95842,             0.95763,              0.9793,             0.51382,            0.037494,            0.045845,           0.0011939,            0.003862,            0.003862,            0.003862
                  64,            0.041938,            0.073484,           0.0051306,             0.96845,             0.94825,             0.98215,             0.49096,            0.038625,            0.046337,           0.0011888,            0.003763,            0.003763,            0.003763
                  65,            0.042542,            0.070893,           0.0047395,              0.9799,             0.97807,             0.98375,             0.52657,            0.034997,            0.045181,           0.0012235,            0.003664,            0.003664,            0.003664
                  66,            0.040331,             0.06125,           0.0038438,             0.96572,              0.9517,             0.99157,             0.54409,            0.036511,            0.045525,           0.0012694,            0.003565,            0.003565,            0.003565
                  67,            0.041677,            0.062761,           0.0046871,              0.9104,              0.9426,             0.96171,             0.53028,            0.036158,            0.046154,           0.0012506,            0.003466,            0.003466,            0.003466
                  68,            0.040017,            0.067751,           0.0037655,             0.97635,             0.97316,             0.98168,             0.54104,             0.03517,            0.045422,           0.0012308,            0.003367,            0.003367,            0.003367
                  69,            0.039982,            0.061268,           0.0040763,             0.95974,             0.95854,             0.96982,              0.4821,            0.037271,            0.046429,           0.0012239,            0.003268,            0.003268,            0.003268
                  70,            0.041065,            0.067736,           0.0046063,              0.9535,             0.97747,             0.98938,             0.58317,            0.032991,            0.045799,           0.0012102,            0.003169,            0.003169,            0.003169
                  71,            0.037929,            0.066974,           0.0035163,             0.98026,             0.97377,             0.98291,             0.58046,            0.033796,            0.045101,           0.0011656,             0.00307,             0.00307,             0.00307
                  72,            0.039401,            0.063636,           0.0041802,             0.97404,             0.95893,             0.97482,             0.57711,            0.033137,            0.043911,           0.0011892,            0.002971,            0.002971,            0.002971
                  73,            0.037183,            0.066034,           0.0036762,             0.98908,             0.96873,              0.9836,             0.56138,            0.033678,            0.044392,           0.0010909,            0.002872,            0.002872,            0.002872
                  74,             0.03838,            0.059964,           0.0043634,              0.9755,             0.95996,              0.9919,             0.59799,            0.032483,             0.04557,           0.0011085,            0.002773,            0.002773,            0.002773
                  75,            0.038166,            0.060532,           0.0039112,             0.97802,             0.97529,             0.99375,             0.54126,            0.032485,            0.045238,           0.0011222,            0.002674,            0.002674,            0.002674
                  76,            0.039253,            0.062979,           0.0053722,             0.98526,              0.9754,             0.98381,             0.53688,            0.033185,            0.045067,            0.001175,            0.002575,            0.002575,            0.002575
                  77,            0.037966,             0.06314,            0.003955,             0.98575,             0.97936,             0.98574,             0.48372,             0.03472,            0.046612,           0.0011549,            0.002476,            0.002476,            0.002476
                  78,            0.036873,            0.069476,           0.0038397,             0.96668,             0.96272,             0.96869,             0.55459,            0.031145,            0.045914,           0.0010491,            0.002377,            0.002377,            0.002377
                  79,            0.036445,            0.062244,           0.0031486,             0.97807,             0.97316,             0.97907,             0.55103,            0.032597,            0.046005,           0.0010516,            0.002278,            0.002278,            0.002278
                  80,            0.038766,             0.06223,           0.0050818,             0.97914,             0.97316,             0.98099,             0.57285,            0.032724,             0.04644,           0.0010252,            0.002179,            0.002179,            0.002179
                  81,            0.034456,             0.06249,           0.0033802,             0.97987,             0.97453,             0.98436,             0.56699,            0.032736,            0.045639,          0.00088964,             0.00208,             0.00208,             0.00208
                  82,            0.037181,            0.057914,           0.0034256,             0.96811,             0.96392,             0.97279,             0.57466,            0.031358,            0.045181,          0.00091195,            0.001981,            0.001981,            0.001981
                  83,            0.034428,            0.070082,           0.0035728,             0.98024,             0.97515,             0.98062,             0.55823,             0.03182,            0.047482,           0.0010145,            0.001882,            0.001882,            0.001882
                  84,            0.037456,            0.061742,           0.0037917,             0.98322,              0.9753,             0.98222,             0.56947,            0.032502,            0.046543,          0.00082462,            0.001783,            0.001783,            0.001783
                  85,            0.034802,            0.062882,           0.0030357,             0.98186,             0.97577,             0.98366,             0.56064,            0.031322,            0.045387,          0.00066154,            0.001684,            0.001684,            0.001684
                  86,             0.03415,            0.062472,           0.0037036,             0.98225,             0.97647,             0.98194,              0.5831,            0.030415,            0.045113,          0.00068493,            0.001585,            0.001585,            0.001585
                  87,            0.033305,             0.06371,           0.0036799,             0.98287,             0.97592,              0.9813,             0.57576,            0.029909,            0.044609,          0.00059094,            0.001486,            0.001486,            0.001486
                  88,            0.034239,            0.059704,           0.0040118,             0.98279,             0.97538,             0.98317,             0.57795,            0.030276,            0.044449,          0.00058258,            0.001387,            0.001387,            0.001387
                  89,            0.033161,            0.061874,           0.0040566,             0.98285,             0.97656,             0.98075,             0.58965,            0.030119,            0.044815,          0.00066369,            0.001288,            0.001288,            0.001288
                  90,            0.035193,            0.072744,           0.0030334,             0.97182,             0.96544,             0.96728,             0.55507,            0.031535,            0.044998,          0.00070982,            0.001189,            0.001189,            0.001189
                  91,            0.033575,             0.06379,           0.0043228,             0.97961,             0.96365,             0.97705,             0.54831,            0.031079,            0.045479,          0.00086067,             0.00109,             0.00109,             0.00109
                  92,            0.035092,            0.070327,           0.0038314,              0.9799,             0.97613,             0.97873,             0.57172,            0.029942,            0.045456,           0.0009244,            0.000991,            0.000991,            0.000991
                  93,            0.034188,            0.068203,             0.00387,             0.97991,             0.97548,             0.98007,             0.58081,            0.030281,             0.04517,          0.00087547,            0.000892,            0.000892,            0.000892
                  94,            0.034602,            0.056503,           0.0033592,             0.98224,              0.9635,              0.9834,             0.58203,            0.030171,            0.044907,          0.00078943,            0.000793,            0.000793,            0.000793
                  95,            0.032898,            0.060096,           0.0034592,             0.98083,             0.97653,             0.98451,             0.59655,            0.029167,            0.044437,          0.00070789,            0.000694,            0.000694,            0.000694
                  96,            0.032353,            0.058843,           0.0028833,             0.98151,             0.97666,             0.98594,             0.59908,            0.029111,            0.044186,          0.00066454,            0.000595,            0.000595,            0.000595
                  97,            0.032262,            0.060469,           0.0033611,             0.98196,             0.97736,             0.98523,             0.59163,            0.029211,            0.044277,          0.00063472,            0.000496,            0.000496,            0.000496
                  98,            0.032908,            0.067896,           0.0037992,             0.98183,             0.97778,             0.98393,             0.59565,            0.029394,            0.044563,          0.00062807,            0.000397,            0.000397,            0.000397
                  99,            0.032693,            0.069701,           0.0029328,             0.98202,             0.97751,             0.98331,             0.58046,            0.030219,             0.04454,          0.00059845,            0.000298,            0.000298,            0.000298
